Date,Adani Ports and Special Economic Zone Ltd.,Asian Paints Ltd.,Axis Bank Ltd.,Bajaj Auto Ltd.,Bajaj Finance Ltd.,Bajaj Finserv Ltd.,Bharat Petroleum Corporation Ltd.,Bharti Airtel Ltd.,Britannia Industries Ltd.,Cipla Ltd.,Divis Laboratories Ltd.,Dr. Reddys Laboratories Ltd.,Eicher Motors Ltd.,Grasim Industries Ltd.,HCL Technologies Ltd.,HDFC Bank Ltd.,Hero MotoCorp Ltd.,Hindalco Industries Ltd.,Hindustan Unilever Ltd.,Housing Development Finance Corporation Ltd.,ICICI Bank Ltd.,ITC Ltd.,Indian Oil Corporation Ltd.,IndusInd Bank Ltd.,Infosys Ltd.,JSW Steel Ltd.,Kotak Mahindra Bank Ltd.,Larsen & Toubro Ltd.,Mahindra & Mahindra Ltd.,Maruti Suzuki India Ltd.,NTPC Ltd.,Nestle India Ltd.,Oil & Natural Gas Corporation Ltd.,Power Grid Corporation of India Ltd.,Reliance Industries Ltd.,Shree Cement Ltd.,Sun Pharmaceutical Industries Ltd.,Tata Consultancy Services Ltd.,Tata Consumer Products Ltd.,Tata Steel Ltd.,Tech Mahindra Ltd.,Titan Company Ltd.,UPL Ltd.,UltraTech Cement Ltd.,Wipro Ltd.
2011-02-04,134.949997,248.625,244.520004,1226.800049,57.386448,403.104584,98.074997,305.294312,181.399994,324.299988,328.475006,1580.900024,106.904999,356.099121,120.087502,201.774994,1537.199951,236.550003,272.950012,604.150024,181.090912,102,79.75,220.449997,380.987488,89.614998,179.875,697.799988,334.75,1182.949951,147.458328,3247.300049,198.616669,72.975021,455.680603,1608.349976,208.274994,574.400024,95.300003,605.845215,158.675003,175.667496,93.833336,1006.849976,163.762543
2011-02-07,134.800003,250.154999,245.710007,1217.800049,57.818802,407.771271,99.150002,306.533844,178.399994,314.549988,325.424988,1565.150024,107.959999,356.54837,119.425003,203.884995,1583.199951,232.25,274.350006,590.650024,177.954544,104.73333,80.599998,222.649994,385.931244,89.809998,179.899994,684.111084,334.600006,1189.75,149.666672,3326,199.09166,73.350021,460.163116,1615.599976,205.050003,565.575012,95.75,610.132568,157.375,172.399994,93.633331,993.349976,160.08754
2011-02-08,131.699997,247.960007,238.139999,1239.199951,57.226135,408.016907,99.900002,306.028839,179.524994,316.799988,322.549988,1534.599976,107.695,357.237732,116.362503,200.285004,1506.949951,233.850006,273.350006,589.150024,173.009094,104.066666,80.474998,219.149994,387.075012,82.260002,168.975006,669.733337,313.850006,1176.800049,145.125,3266.800049,188.03334,71.775017,453.327911,1603.849976,198.475006,562.549988,92.5,590.410889,154,161.617493,90.73333,953.400024,159.656296
2011-02-09,129,247.520004,232.130005,1204.150024,57.347584,402.613342,97.491669,304.972931,177.774994,311.600006,312.625,1518.449951,106.084999,348.895477,115.675003,202.229996,1440.550049,219.350006,276.399994,608.299988,174.009094,102.599998,78.925003,209.649994,391.337494,78.235001,177.975006,658.599976,327.600006,1154,142.791672,3200.850098,182.866669,71.925018,452.857361,1538.5,205,549.150024,87.849998,570.832153,145.774994,154.399994,87.566666,897.25,159.037537
2011-02-10,129.699997,248.375,233.110001,1209.900024,54.899197,401.680023,97.591667,296.204346,172.899994,310.700012,314.975006,1491.25,106.595001,341.211609,117.4375,201.585007,1449.300049,215.75,272.649994,595.849976,174.518188,104.099998,77.887497,216,381.649994,83.370003,181.5,662.977783,326.299988,1160,142,3215.649902,182.399994,71.550018,445.601135,1520.300049,208.574997,545.375,88.099998,572.166016,140.362503,154.227493,88,917.299988,156.731293
2011-02-11,138.550003,249.854996,244.339996,1255.900024,58.304588,409.834442,97.158333,292.807068,174.725006,311.149994,317.600006,1497.25,106.894997,345.014832,117.375,205.929993,1469.5,210.949997,269.149994,623.150024,181.918182,103.400002,78.612503,212.199997,380.106262,86.010002,189.050003,691.599976,332.600006,1181.349976,147.375,3218.050049,184.699997,72.300018,450.702789,1588.099976,209.125,544.799988,91.699997,567.164124,142.925003,155.572495,89.966667,914.799988,157.593796
2011-02-14,142.699997,260,254.009995,1298.5,59.659946,419.904694,100.60833,300.565674,181.274994,313,320.200012,1541.150024,108.724998,359.143219,120.5625,210.544998,1527.099976,219.300003,273.149994,642.799988,188.045456,105,82.037498,219.550003,388.068756,88.790001,199.074997,737.844421,340.049988,1224.099976,148.416672,3380.949951,186.300003,73.912521,453.105011,1629.75,212.899994,556.150024,94.599998,590.934875,158.662506,158.975006,92.666664,936.400024,159.15004
2011-02-15,141.649994,258.790009,254.960007,1328.099976,59.421909,408.557251,100.650002,302.218414,181.449997,309.850006,328.149994,1538.599976,109.5,357.632782,120.75,210.699997,1517,212.399994,273.149994,646.599976,191.672729,104.73333,83.212502,223.75,388.318756,89.815002,205.675003,722.111084,334.024994,1236.699951,150.75,3392.149902,188.366669,74.062515,466.428711,1640.800049,211.925003,548.849976,95.75,587.457397,158.925003,160.637497,95.533333,946,159.543793
2011-02-16,143.350006,256.445007,259.359985,1332.099976,58.348312,421.427521,100.583336,301.529785,181.199997,305.799988,326.424988,1511.199951,109.044998,358.934082,118.4375,209.485001,1492.800049,211.649994,275.899994,626.900024,191.018188,104.599998,82.887497,224.149994,387.875,89.785004,204.699997,735.333313,327.899994,1227.949951,151.333328,3391.050049,186.433334,73.95002,467.642212,1647.900024,208.649994,548.25,94.449997,611.085266,160.287506,163.085007,96.566666,938.450012,163.93129
2011-02-17,147.800003,259.480011,263.5,1351.25,59.795967,423.441559,102.566666,312.042908,180.875,305.200012,322.799988,1525.849976,106.260002,361.381775,116.862503,218.559998,1498.099976,211.399994,273.950012,650.049988,192.181824,105.633331,82.162498,229.899994,389.168762,92.175003,205.925003,753.533325,334.774994,1228.050049,150.708328,3442.100098,185.233337,73.95002,472.496216,1709.599976,212.225006,554.599976,101.650002,624.137756,166.699997,164.714996,95.800003,939.849976,162.018784
